;ID admis (pouze číslo!);Název projektu;druh stavby;dopravní zatížení;spolufinancování;dopravní význam;technický stav;stavební stav;životní prostředí;regionální význam;jediná přístupová cesta;stav přípravy;hromadná doprava;nehodová lokalita;Výsledné hodnocení;Hodnocení s korekcí
552;ID 552;II/ 329 Pečky, úprava křižovatky;řešení bodové závady a/nebo bezpečnostního rizika (křižovatky, opěrné zdi, skalní masivy);3;10;10;6;3;0;10;0;2;0;10;47.8;67.3
543;ID 543;II/108 Kostelec nad Černými lesy - Stříbrná Skalice;oprava a rekonstrukce;5;10;8;3;6;10;7;0;10;10;4;43.3;67.7
545;ID 545;II/113 Český Brod, Jana Kouly , OK;oprava a rekonstrukce;5;10;10;6;3;10;7;0;8;10;4;41.1;64.2
590;ID 590;II/113 Doubravčice - Štihlice;oprava a rekonstrukce;3;0;10;6;6;10;7;0;5;10;4;34.7;54.2
546;ID 546;II/125 Červený Hrádek - Uhlířské Janovice;oprava a rekonstrukce;6;10;10;3;6;10;10;0;10;10;4;47.4;74.1
547;ID 547;II/125 Velký Osek, kamerová prohlídka dešťové kanalizace;oprava a rekonstrukce;6;10;10;6;6;10;10;0;10;10;4;49.8;77.8
596;ID 596;II/275 Křinec - kř. III/27522;oprava a rekonstrukce;1;0;10;3;6;10;7;0;8;10;2;33.5;52.3
626;ID 626;II/324 Městec Králové - kř. s II/328;oprava a rekonstrukce;2;0;10;3;6;10;7;0;8;10;4;34.6;54.1
585;ID 585;III/00312 Říčany, ul. Rooseveltova, havarijní oprava;oprava a rekonstrukce;3;0;5;3;6;10;7;0;8;10;2;33.9;53.0
548;ID 548;III/0172 Opatovice I, most ev.č. 0172-1;oprava a rekonstrukce;2;10;5;6;10;10;4;0;10;10;2;43.6;68.1
595;ID 595;III/03317 kř. II/126 - Želivec I;oprava a rekonstrukce;1;0;5;3;6;10;2;10;8;10;2;30.5;47.7
584;ID 584;III/1016 Kunice;oprava a rekonstrukce;3;10;5;3;6;10;4;0;5;10;4;33.3;52.0
635;ID 635;III/1138 Tismice - Vrátkov;oprava a rekonstrukce;1;0;5;3;6;10;2;0;8;10;2;27.5;43.0
549;ID 549;III/27522 Rožďalovice, Tyršova ul.;oprava a rekonstrukce;2;10;7;6;6;10;7;0;10;10;0;42.6;66.6
553;ID 553;III/27524 Nové Zámky oprava propustku a komunikace;oprava a rekonstrukce;1;0;7;6;10;10;10;0;10;10;0;43.9;68.6
632;ID 632;III/3222 Konárovice - Jelen;oprava a rekonstrukce;2;0;5;3;6;10;4;0;8;10;0;29.8;46.6
601;ID 601;III/3245 MK ul. Dymokurská, OK;oprava a rekonstrukce;3;10;7;10;6;10;7;0;5;10;4;42.3;66.1
554;ID 554;III/32827 Chotěšice, propustek;oprava a rekonstrukce;3;10;6;10;10;10;4;0;5;10;0;42.3;66.1
493;ID 493;III/3284 Kolín, Sendražice - propustek;oprava a rekonstrukce;2;10;4;10;6;10;4;10;5;10;0;40.2;62.8
555;ID 555;III/3294 Velim;oprava a rekonstrukce;3;10;7;10;6;10;7;0;10;10;4;47.3;73.9
597;ID 597;III/3306 Hořany - x III/3305;oprava a rekonstrukce;1;0;5;3;6;10;2;0;8;10;0;27.1;42.3
556;ID 556;III/3319 Kostomlaty nad Labem, ul. Doubravská - zklidnění dopravy;oprava a rekonstrukce;2;10;5;6;6;10;4;10;10;10;0;42.2;65.9
557;ID 557;III/33355 Kutná Hora, ul. Gruntecká;oprava a rekonstrukce;3;10;6;6;6;10;7;0;10;10;4;43.9;68.6
594;ID 594;III/33420 Oleška - Nučice;oprava a rekonstrukce;3;0;5;3;6;10;7;0;8;10;0;33.5;52.3
589;ID 589;III/3366 Jiřice - Řendějov;oprava a rekonstrukce;1;0;5;3;6;10;2;10;8;10;0;30.1;47.0
558;ID 558;III/33721 Močovice;oprava a rekonstrukce;2;10;5;6;10;10;4;0;10;10;0;43.2;67.5
588;ID 588;III/33838 Paběnice - kř. II/339;oprava a rekonstrukce;1;0;5;3;6;10;4;0;8;10;0;29.1;45.5
583;ID 583;III-00315,III-10113 Radlík-Kostelec u Křížků - II. etapa;oprava a rekonstrukce;3;10;5;6;6;0;7;0;8;10;2;39.3;61.4
656;ID 656;Oprava II. poloviny  II/337 a II/339 Čáslav - kooor. objízdné trasy s ŘSD;oprava a rekonstrukce;6;10;10;6;6;10;10;0;10;10;4;49.8;77.8
